"자치구별(1)","자치구별(2)",구분별(1),구분별(2),구분별(3),2021
"합계","강북구",초등학교,학급현황,학급수 (학급),447
"합계","강북구",초등학교,학급현황,학급당학생수 (명),21.1
"합계","강북구",중학교,학생수 (명),소계,6047
"합계","강북구",중학교,학급현황,학급수 (학급),244
"합계","강북구",중학교,학급현황,학급당학생수 (명),24.8
"합계","강북구",고등학교,학생수 (명),소계,5238
"합계","강북구",고등학교,학급현황,학급수 (학급),210
"합계","강북구",고등학교,학급현황,학급당학생수 (명),24.9
"합계","도봉구",유치원,원아수 (명),소계,2115
"합계","도봉구",유치원,학급현황,학급수 (학급),114
"합계","도봉구",유치원,학급현황,학급당원아수 (명),18.6
"합계","도봉구",초등학교,학생수 (명),소계,13952
"합계","도봉구",초등학교,학급현황,학급수 (학급),675
"합계","도봉구",초등학교,학급현황,학급당학생수 (명),20.7
"합계","도봉구",중학교,학생수 (명),소계,6437
"합계","도봉구",중학교,학급현황,학급수 (학급),282
"합계","도봉구",중학교,학급현황,학급당학생수 (명),22.8
"합계","도봉구",고등학교,학생수 (명),소계,6336
"합계","도봉구",고등학교,학급현황,학급수 (학급),285
"합계","도봉구",고등학교,학급현황,학급당학생수 (명),22.2
"합계","노원구",유치원,원아수 (명),소계,5466
"합계","노원구",유치원,학급현황,학급수 (학급),290
"합계","노원구",유치원,학급현황,학급당원아수 (명),18.8
"합계","노원구",초등학교,학생수 (명),소계,24692
"합계","노원구",초등학교,학급현황,학급수 (학급),1177
"합계","노원구",초등학교,학급현황,학급당학생수 (명),21.0
"합계","노원구",중학교,학생수 (명),소계,15213
"합계","노원구",중학교,학급현황,학급수 (학급),631
"합계","노원구",중학교,학급현황,학급당학생수 (명),24.1
"합계","노원구",고등학교,학생수 (명),소계,19136
"합계","노원구",고등학교,학급현황,학급수 (학급),839
"합계","노원구",고등학교,학급현황,학급당학생수 (명),22.8
"합계","은평구",유치원,원아수 (명),소계,3196
"합계","은평구",유치원,학급현황,학급수 (학급),183
"합계","은평구",유치원,학급현황,학급당원아수 (명),17.5
"합계","은평구",초등학교,학생수 (명),소계,19730
"합계","은평구",초등학교,학급현황,학급수 (학급),907
"합계","은평구",초등학교,학급현황,학급당학생수 (명),21.8
"합계","은평구",중학교,학생수 (명),소계,10274
"합계","은평구",중학교,학급현황,학급수 (학급),424
"합계","은평구",중학교,학급현황,학급당학생수 (명),24.2
"합계","은평구",고등학교,학생수 (명),소계,12213
"합계","은평구",고등학교,학급현황,학급수 (학급),518
"합계","은평구",고등학교,학급현황,학급당학생수 (명),23.6
"합계","서대문구",유치원,원아수 (명),소계,2257
"합계","서대문구",유치원,학급현황,학급수 (학급),109
"합계","서대문구",유치원,학급현황,학급당원아수 (명),20.7
"합계","서대문구",초등학교,학생수 (명),소계,12940
"합계","서대문구",초등학교,학급현황,학급수 (학급),587
"합계","서대문구",초등학교,학급현황,학급당학생수 (명),22.0
"합계","서대문구",중학교,학생수 (명),소계,5981
"합계","서대문구",중학교,학급현황,학급수 (학급),269
"합계","서대문구",중학교,학급현황,학급당학생수 (명),22.2
"합계","서대문구",고등학교,학생수 (명),소계,4909
"합계","서대문구",고등학교,학급현황,학급수 (학급),200
"합계","서대문구",고등학교,학급현황,학급당학생수 (명),24.5
"합계","마포구",유치원,원아수 (명),소계,2711
"합계","마포구",유치원,학급현황,학급수 (학급),131
"합계","마포구",유치원,학급현황,학급당원아수 (명),20.7
"합계","마포구",초등학교,학생수 (명),소계,13888
"합계","마포구",초등학교,학급현황,학급수 (학급),645
"합계","마포구",초등학교,학급현황,학급당학생수 (명),21.5
"합계","마포구",중학교,학생수 (명),소계,7682
"합계","마포구",중학교,학급현황,학급수 (학급),303
"합계","마포구",중학교,학급현황,학급당학생수 (명),25.4
"합계","마포구",고등학교,학생수 (명),소계,5859
"합계","마포구",고등학교,학급현황,학급수 (학급),238
"합계","마포구",고등학교,학급현황,학급당학생수 (명),24.6
"합계","양천구",유치원,원아수 (명),소계,3769
"합계","양천구",유치원,학급현황,학급수 (학급),206
"합계","양천구",유치원,학급현황,학급당원아수 (명),18.3
"합계","양천구",초등학교,학생수 (명),소계,23469
"합계","양천구",초등학교,학급현황,학급수 (학급),1006
"합계","양천구",초등학교,학급현황,학급당학생수 (명),23.3
"합계","양천구",중학교,학생수 (명),소계,16208
"합계","양천구",중학교,학급현황,학급수 (학급),607
"합계","양천구",중학교,학급현황,학급당학생수 (명),26.7
"합계","양천구",고등학교,학생수 (명),소계,12082
"합계","양천구",고등학교,학급현황,학급수 (학급),485
"합계","양천구",고등학교,학급현황,학급당학생수 (명),24.9
"합계","강서구",유치원,원아수 (명),소계,4786
"합계","강서구",유치원,학급현황,학급수 (학급),247
"합계","강서구",유치원,학급현황,학급당원아수 (명),19.4
"합계","강서구",초등학교,학생수 (명),소계,24896
"합계","강서구",초등학교,학급현황,학급수 (학급),1169
"합계","강서구",초등학교,학급현황,학급당학생수 (명),21.3
"합계","강서구",중학교,학생수 (명),소계,10729
"합계","강서구",중학교,학급현황,학급수 (학급),440
"합계","강서구",중학교,학급현황,학급당학생수 (명),24.4
"합계","강서구",고등학교,학생수 (명),소계,14144
"합계","강서구",고등학교,학급현황,학급수 (학급),616
"합계","강서구",고등학교,학급현황,학급당학생수 (명),23.0
"합계","구로구",유치원,원아수 (명),소계,2693
"합계","구로구",유치원,학급현황,학급수 (학급),142
"합계","구로구",유치원,학급현황,학급당원아수 (명),19.0
"합계","구로구",초등학교,학생수 (명),소계,17290
"합계","구로구",초등학교,학급현황,학급수 (학급),843
"합계","구로구",초등학교,학급현황,학급당학생수 (명),20.5
"합계","구로구",중학교,학생수 (명),소계,8143
"합계","구로구",중학교,학급현황,학급수 (학급),351
"합계","구로구",중학교,학급현황,학급당학생수 (명),23.2
"합계","구로구",고등학교,학생수 (명),소계,9020
"합계","구로구",고등학교,학급현황,학급수 (학급),373
"합계","구로구",고등학교,학급현황,학급당학생수 (명),24.2
"합계","금천구",유치원,원아수 (명),소계,1423
"합계","금천구",유치원,학급현황,학급수 (학급),85
"합계","금천구",유치원,학급현황,학급당원아수 (명),16.7
"합계","금천구",초등학교,학생수 (명),소계,8050
"합계","금천구",초등학교,학급현황,학급수 (학급),428
"합계","금천구",초등학교,학급현황,학급당학생수 (명),18.8
"합계","금천구",중학교,학생수 (명),소계,3962
"합계","금천구",중학교,학급현황,학급수 (학급),176
